2026-02-25 14:16:50 | INFO     | AH recommendation server stopped
2026-02-25 14:16:56 | INFO     | AH recommendation server starting
2026-02-25 14:16:56 | INFO     | Data mode: mock
2026-02-25 14:16:56 | INFO     | Hourly refresh enabled
2026-02-25 14:17:16 | WARNING  | Failed to fetch H-share price 1398.HK (normalized=1398): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:17:16 | WARNING  | 无法获取 601398.SH/1398.HK 的数据
2026-02-25 14:17:21 | WARNING  | Failed to fetch A-share price 601939.SH (normalized=601939): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:17:26 | WARNING  | Failed to fetch H-share price 0939.HK (normalized=0939): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:17:26 | WARNING  | 无法获取 601939.SH/0939.HK 的数据
2026-02-25 14:17:31 | WARNING  | Failed to fetch A-share price 601288.SH (normalized=601288): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:17:37 | WARNING  | Failed to fetch H-share price 1288.HK (normalized=1288): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:17:37 | WARNING  | 无法获取 601288.SH/1288.HK 的数据
2026-02-25 14:17:42 | WARNING  | Failed to fetch A-share price 601988.SH (normalized=601988): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:17:48 | WARNING  | Failed to fetch H-share price 3988.HK (normalized=3988): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:17:48 | WARNING  | 无法获取 601988.SH/3988.HK 的数据
2026-02-25 14:17:53 | WARNING  | Failed to fetch A-share price 600030.SH (normalized=600030): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:17:59 | WARNING  | Failed to fetch H-share price 6030.HK (normalized=6030): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:17:59 | WARNING  | 无法获取 600030.SH/6030.HK 的数据
2026-02-25 14:18:04 | WARNING  | Failed to fetch A-share price 601318.SH (normalized=601318): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:18:10 | WARNING  | Failed to fetch H-share price 2318.HK (normalized=2318): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:18:10 | WARNING  | 无法获取 601318.SH/2318.HK 的数据
2026-02-25 14:18:15 | WARNING  | Failed to fetch A-share price 601628.SH (normalized=601628): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:18:20 | WARNING  | Failed to fetch H-share price 2628.HK (normalized=2628): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:18:20 | WARNING  | 无法获取 601628.SH/2628.HK 的数据
2026-02-25 14:18:25 | WARNING  | Failed to fetch A-share price 600028.SH (normalized=600028): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:18:31 | WARNING  | Failed to fetch H-share price 0386.HK (normalized=0386): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:18:31 | WARNING  | 无法获取 600028.SH/0386.HK 的数据
2026-02-25 14:18:36 | WARNING  | Failed to fetch A-share price 601857.SH (normalized=601857): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:18:41 | WARNING  | Failed to fetch H-share price 0857.HK (normalized=0857): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:18:41 | WARNING  | 无法获取 601857.SH/0857.HK 的数据
